typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","604","PER","Peru","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64816310","false","8","kg","64816310","false","64816310","false","0","false","152365559","150338874","152365559","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","620","PRT","Portugal","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14187000","false","8","kg","14187000","false","14187000","false","0","false","20255342","19749733","20255342","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","182.456","true","8","kg","3","false","182.456","true","0","false","1186","1153","1186","6","false","true",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","-1","N/A",,"false","10","false",,"false","156",,"156","0","true","false",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","699","IND","India","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9","false","-1","N/A",,"false","9","false",,"false","109",,"109","0","true","false",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","47",,"47","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","913417509","false","-1","N/A",,"false","913417509","false",,"false","1601026210",,"1601026210","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11612775","false","-1","N/A",,"false","11612775","false",,"false","21234087",,"21234087","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10641390","false","-1","N/A",,"false","10641390","false",,"false","11990901",,"11990901","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","152","CHL","Chile","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9976425","false","-1","N/A",,"false","9976425","false",,"false","18047118",,"18047118","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","156","CHN","China","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","-1","N/A",,"false","12","false",,"false","539",,"539","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","232","ERI","Eritrea","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5248360","false","-1","N/A",,"false","5248360","false",,"false","8542341",,"8542341","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","268","GEO","Georgia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","117590788","false","-1","N/A",,"false","117590788","false",,"false","142674955",,"142674955","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","59","false","-1","N/A",,"false","59","false",,"false","1836",,"1836","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","504","MAR","Morocco","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2195070","false","-1","N/A",,"false","2195070","false",,"false","3866360",,"3866360","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","620","PRT","Portugal","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21474404","false","-1","N/A",,"false","21474404","false",,"false","28762515",,"28762515","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","642","ROU","Romania","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","791609","false","-1","N/A",,"false","791609","false",,"false","563072",,"563072","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4787740","false","-1","N/A",,"false","4787740","false",,"false","16621271",,"16621271","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","688","SRB","Serbia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10532000","false","-1","N/A",,"false","10532000","false",,"false","12504721",,"12504721","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","724","ESP","Spain","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","596452400","false","-1","N/A",,"false","596452400","false",,"false","1121722633",,"1121722633","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","792","TUR","Türkiye","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","65982497","false","-1","N/A",,"false","65982497","false",,"false","86526055",,"86526055","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","807","MKD","North Macedonia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42062210","false","-1","N/A",,"false","42062210","false",,"false","62302383",,"62302383","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","834","TZA","United Rep. of Tanzania","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14069770","false","-1","N/A",,"false","14069770","false",,"false","65665423",,"65665423","0","true","false",
"C","A","20140101","2014","52","2014","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","205365","false","-1","N/A",,"false","205365","false",,"false",,"14381","14381","0","true","false",
"C","A","20140101","2014","52","2014","8","ALB","Albania","X","Export","156","CHN","China","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","205365","false","-1","N/A",,"false","205365","false",,"false",,"14381","14381","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2747408","false","-1","N/A",,"false","2747408","false",,"false",,"4587475","4587475","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","X","Export","268","GEO","Georgia","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2522852","false","-1","N/A",,"false","2522852","false",,"false",,"3728082","3728082","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","224556","false","-1","N/A",,"false","224556","false",,"false",,"859393","859393","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","408717800","false","8","kg","408717800","false","408717800","false",,"false",,"929138894.74","929138894.74","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","100","BGR","Bulgaria","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","41525900","false","8","kg","41525900","false","41525900","false",,"false",,"93336539.23","93336539.23","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","246","FIN","Finland","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","11018000","false","8","kg","11018000","false","11018000","false",,"false",,"23254615.41","23254615.41","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","177644200","false","8","kg","177644200","false","177644200","false",,"false",,"407315922.92","407315922.92","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","82177300","false","8","kg","82177300","false","82177300","false",,"false",,"188346499.85","188346499.85","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","699","IND","India","0","W00","World","H4","HS","true","260300","Copper ores and concentrates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","41805500","false","8","kg","41805500","false","41805500","false",,"false",,"94204720.17","94204720.17","0","false","true",
