typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3098","false","-1","N/A",,"false","3098","false",,"false","8294",,"8294","0","true","false",
"C","A","20040101","2004","52","2004","56","BEL","Belgium","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8011","false","-1","N/A",,"false","8011","false",,"false","162141",,"162141","0","true","false",
"C","A","20040101","2004","52","2004","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","1","false","62","53","62","0","false","true",
"C","A","20040101","2004","52","2004","68","BOL","Bolivia (Plurinational State of)","M","Import","392","JPN","Japan","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","1","false","62","53","62","0","false","true",
"C","A","20040101","2004","52","2004","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","50473",,"50473","0","false","false",
"C","A","20040101","2004","52","2004","72","BWA","Botswana","M","Import","710","ZAF","South Africa","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","50473",,"50473","0","false","false",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","265690.833","true","8","kg","265537","false","265690.833","true","0","false","1183093","1137839","1183093","6","false","true",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","8","kg","300","false","300","false","0","false","2925","2799","2925","0","false","true",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","247006.288","true","8","kg","247000","false","247006.288","true","0","false","1087495","1045124","1087495","6","false","true",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","45","33","45","0","false","true",
